LastName,Postcode,IsDogOwner,Breed_Type
Durbann,3083,0,Terrier Irish
Dwerryhouse,3048,1,Boxer
Earey,3029,0,Bullterrier Staffordshire
Edger,3003,0,Dingo
Edwinson,3052,1,Hound Ibizan
Elcoat,3012,0,Retriever Chesapeake
Eplett,3011,0,Samoyed
Estabrook,3093,1,Springer English
Evetts,3005,1,Terrier Irish
Exley,3102,0,
Fairholme,3044,1,Boxer
Farlham,3053,0,Bullterrier Staffordshire
Farney,3078,0,Dingo
Fearne,3061,0,Hound Ibizan
Fenby,3024,1,Retriever Chesapeake
Ferrey,3032,0,Samoyed
Fiddeman,3022,1,Springer English
Fisby,3047,0,Terrier Irish
Fitzsymon,3049,1,Boxer
Flacknoe,3050,1,Bullterrier Staffordshire
Flaxman,3094,0,Dingo
Follacaro,3070,0,Hound Ibizan
Forstall,3055,0,Retriever Chesapeake
Foucar,3036,1,Samoyed
Foux,3060,1,Springer English
Futty,3010,0,Terrier Irish
Gammon,3043,0,
Garriock,3073,1,Boxer
Garrison,3072,0,Bullterrier Staffordshire
Garvin,3004,1,Dingo
Gathwaite,3104,0,Hound Ibizan
Gawke,3018,0,Retriever Chesapeake
Geddes,3057,0,Samoyed
Georgot,3101,1,Springer English
Gianullo,3071,1,Terrier Irish
Gibbieson,3037,0,
Gilfether,3051,0,
Gilhooley,3076,0,
Giorio,3096,0,
Giron,3106,0,
Glen,3013,1,Boxer
Glide,3084,0,Bullterrier Staffordshire
Glowinski,3087,1,Dingo
Goare,3079,0,Hound Ibizan
Godin,3016,0,Retriever Chesapeake
Godleman,3019,1,Samoyed
Goodayle,3042,0,Springer English
Greeding,3054,0,Terrier Irish
Greene,3065,0,
Greensmith,3006,0,
Greystock,3113,0,
Grigson,3025,0,
Grinnov,3058,0,
Groucock,3089,0,
Guitt,3074,1,Boxer
Hadye,3027,1,Bullterrier Staffordshire
Hagland,3075,0,Dingo
Haining,3034,1,Hound Ibizan
Haken,3028,1,Retriever Chesapeake
Hallatt,3039,1,Samoyed
Hamlett,3008,1,Springer English
Hancill,3020,1,Terrier Irish
Hansel,3082,0,
Harbert,3107,1,Boxer
Harcus,3000,0,Bullterrier Staffordshire
Harland,3021,0,Dingo
Hatcher,3090,1,Hound Ibizan
Hatherill,3103,1,Retriever Chesapeake
Hawthorn,3041,0,Samoyed
Hawyes,3099,0,Springer English
Hazeley,3062,1,Terrier Irish
Hearnden,3031,1,Boxer
Heaseman,3040,0,Bullterrier Staffordshire
Hebborne,3091,0,Dingo
Hechlin,3105,0,Hound Ibizan
Hellard,3068,0,Retriever Chesapeake
Hellier,3088,0,Samoyed
Herion,3059,1,Springer English
Hovenden,3064,0,Terrier Irish
Hovy,3063,1,Boxer
Huckle,3108,1,Bullterrier Staffordshire
Humphris,3038,0,Dingo
Hurdle,3111,0,Hound Ibizan
Huxtable,3097,1,Retriever Chesapeake
Ikins,3026,1,Samoyed
Imort,3023,1,Springer English
Inch,3067,0,Terrier Irish
Inchbald,3066,0,
Inmett,3086,1,Boxer
Isacq,3109,1,Bullterrier Staffordshire
Issit,3095,0,Dingo
Ivanin,3030,1,Hound Ibizan
Ivkovic,3015,1,Retriever Chesapeake
Izard,3056,0,Samoyed
Jaegar,3045,0,Springer English
Jahner,3033,1,Terrier Irish
Jakovijevic,3081,0,
Jamson,3085,0,
January 1st,3046,1,Boxer
Jeanneau,3083,1,Bullterrier Staffordshire
Jeste,3048,1,Dingo
Jimson,3029,0,Hound Ibizan
Jirus,3003,0,Retriever Chesapeake
Jonsson,3052,1,Samoyed
Josovich,3012,1,Springer English
Joule,3011,1,Terrier Irish
Kay,3093,0,
Kellick,3005,1,Boxer
Kenway,3102,0,Bullterrier Staffordshire
Keppy,3044,0,Dingo
Kerley,3053,0,Hound Ibizan
Kieran,3078,0,Retriever Chesapeake
Kildea,3061,1,Samoyed
Konmann,3024,1,Springer English
Kordes,3032,0,Terrier Irish
Krelle,3022,0,
Labrom,3047,1,Boxer
Lackey,3049,0,Bullterrier Staffordshire
Lackham,3050,1,Dingo
Laker,3094,1,Hound Ibizan
Lamblot,3070,1,Retriever Chesapeake
Lamborn,3055,1,Samoyed
Lamminam,3036,0,Springer English
Langforth,3060,0,Terrier Irish
Lannin,3010,1,Boxer
Lappine,3043,0,Bullterrier Staffordshire
Lauks,3073,0,Dingo
Lavalle,3072,1,Hound Ibizan
Lavigne,3004,0,Retriever Chesapeake
Layhe,3104,0,Samoyed
Leckie,3018,1,Springer English
Ledur,3057,1,Terrier Irish
Lenney,3101,0,
Lesser,3071,1,Boxer
Lethibridge,3037,0,Bullterrier Staffordshire
Lincoln,3051,0,Dingo
Linfoot,3076,1,Hound Ibizan
Longhurst,3096,1,Retriever Chesapeake
Lorentzen,3106,1,Samoyed
Lotterington,3013,1,Springer English
Loveguard,3084,0,Terrier Irish
Lownes,3087,1,Boxer
MacConchie,3079,1,Bullterrier Staffordshire
MacEllen,3016,1,Dingo
Macieja,3019,0,Hound Ibizan
MacLure,3042,1,Retriever Chesapeake
MacMenemy,3054,1,Samoyed
Maisey,3065,0,Springer English
Malcher,3006,1,Terrier Irish
Malim,3113,1,Boxer
Mallebone,3025,1,Bullterrier Staffordshire
Mapston,3058,0,Dingo
Marcussen,3089,0,Hound Ibizan
Martell,3074,1,Retriever Chesapeake
Marunchak,3027,1,Samoyed
Masterson,3075,0,Springer English
Mattin,3034,0,Terrier Irish
Mattingley,3028,1,Boxer
Maulin,3039,1,Bullterrier Staffordshire
Mauser,3008,1,Dingo
Mc Harg,3020,1,Hound Ibizan
McCreadie,3082,0,Retriever Chesapeake
McCreary,3107,1,Samoyed
McCurdy,3000,0,Springer English
McKain,3021,1,Terrier Irish
McKerron,3090,0,
McReynolds,3103,0,
McRobb,3041,0,
Measom,3099,1,Boxer
Meddings,3062,0,Bullterrier Staffordshire
Meiklem,3031,0,Dingo
Meininking,3040,1,Hound Ibizan
Melrose,3091,0,Retriever Chesapeake
Merrigan,3105,0,Samoyed
Messom,3068,0,Springer English
Metson,3088,1,Terrier Irish
Meys,3059,0,
Milbourne,3064,0,
Milhench,3063,1,Boxer
Millhouse,3108,0,Bullterrier Staffordshire
Minigo,3038,1,Dingo
Molloy,3111,1,Hound Ibizan
Morffew,3097,1,Retriever Chesapeake
Moulson,3026,1,Samoyed
Mowsdale,3023,0,Springer English
Mullis,3067,0,Terrier Irish
Murrie,3066,0,
Murrison,3086,0,
Mushawe,3109,0,
Nardoni,3021,0,
Naul,3090,0,
Neubigin,3103,0,
Newbury,3041,0,
Newlove,3099,0,
Nield,3062,1,Boxer
Ogger,3031,1,Bullterrier Staffordshire
Ordish,3040,1,Dingo
Organ,3091,0,Hound Ibizan
Orr,3105,0,Retriever Chesapeake
Oxshott,3068,1,Samoyed
Oxterby,3088,0,Springer English
Pacheco,3059,0,Terrier Irish
Padgett,3064,1,Boxer
Pampling,3063,0,Bullterrier Staffordshire
Papa,3108,1,Dingo
Parradye,3038,0,Hound Ibizan
Parsall,3111,0,Retriever Chesapeake
Patry,3097,0,Samoyed
Paulou,3026,1,Springer English
Pawlick,3023,0,Terrier Irish
Pele,3067,1,Boxer
Pendrick,3066,1,Bullterrier Staffordshire
Penkethman,3086,0,Dingo
Peplay,3109,0,Hound Ibizan
Peret,3021,1,Retriever Chesapeake
Petit,3090,0,Samoyed
Pettyfar,3103,0,Springer English
Phillps,3041,0,Terrier Irish
Pietruszka,3099,1,Boxer
Pillington,3062,1,Bullterrier Staffordshire
Plose,3031,0,Dingo
Poker,3040,1,Hound Ibizan
Posselow,3091,1,Retriever Chesapeake
Poxson,3105,0,Samoyed
Preene,3068,0,Springer English
Pride,3088,1,Terrier Irish
Priest,3059,0,
Puddefoot,3064,1,Boxer
Raff,3063,0,Bullterrier Staffordshire
Raffin,3108,0,Dingo
Rait,3038,0,Hound Ibizan
Ramalho,3111,1,Retriever Chesapeake
Rathborne,3097,0,Samoyed
Redan,3026,1,Springer English
Reece,3023,0,Terrier Irish
Reinger,3067,0,
Reisenstein,3066,1,Boxer
Renol,3086,1,Bullterrier Staffordshire
Richardes,3109,0,Dingo
Rickets,3021,0,Hound Ibizan
Ridgley,3090,1,Retriever Chesapeake
Riepel,3103,1,Samoyed
Riseam,3041,1,Springer English
Rollason,3021,1,Terrier Irish
Romaynes,3090,1,Boxer
Ronaldson,3103,0,Bullterrier Staffordshire
Rontsch,3041,1,Dingo
Roote,3021,0,Hound Ibizan
Roze,3090,1,Retriever Chesapeake
Rucklidge,3103,0,Samoyed
Sahnow,3041,0,Springer English
Sallinger,3021,1,Terrier Irish
Sangwin,3090,1,Boxer
Sapshed,3103,0,Bullterrier Staffordshire
Sartain,3041,1,Dingo
Sasser,3021,0,Hound Ibizan
Saull,3090,0,Retriever Chesapeake
Saywell,3103,0,Samoyed
Scanlin,3041,1,Springer English
Scay,3021,0,Terrier Irish
Schrader,3090,1,Boxer
Schwant,3103,0,Bullterrier Staffordshire
Scirman,3041,0,Dingo
Scopham,3021,1,Hound Ibizan
Scoyles,3090,0,Retriever Chesapeake
Serjeantson,3103,1,Samoyed
Seyers,3041,1,Springer English
Shand,3021,0,Terrier Irish
Sharpling,3090,0,
Sheilds,3103,0,
Shewan,3041,0,
Shortt,3021,0,
Shovelbottom,3090,0,
Shuard,3103,0,
Shuter,3041,1,Boxer
Silbersak,3021,1,Bullterrier Staffordshire
Simmans,3090,1,Dingo
Simmill,3103,0,Hound Ibizan
Simpole,3041,0,Retriever Chesapeake
Sinyard,3021,0,Samoyed
Sisson,3090,0,Springer English
Sivier,3103,0,Terrier Irish
Skeel,3041,1,Boxer
Skehan,3021,0,Bullterrier Staffordshire
Skinn,3090,1,Dingo
Slorach,3103,0,Hound Ibizan
Slott,3041,1,Retriever Chesapeake
Snazle,3021,1,Samoyed
Snuggs,3090,1,Springer English
Sotheron,3103,1,Terrier Irish
Speerman,3041,0,
Spelling,3021,0,
Spenceley,3090,1,Boxer
Spinelli,3103,0,Bullterrier Staffordshire
Splevings,3041,0,Dingo
Spraggon,3021,0,Hound Ibizan
St. Pierre,3090,1,Retriever Chesapeake
Stanluck,3103,1,Samoyed
Steffan,3041,0,Springer English
Sterndale,3021,0,Terrier Irish
Stigell,3090,1,Boxer
Stitcher,3103,1,Bullterrier Staffordshire
Stock,3091,1,Dingo
Storrie,3105,0,Hound Ibizan
Stoving,3068,0,Retriever Chesapeake
Sturges,3088,1,Samoyed
Surridge,3059,0,Springer English
Swindon,3064,0,Terrier Irish
Tacker,3063,0,
Tanzer,3108,0,
Temperley,3038,1,Boxer
Tenniswood,3111,1,Bullterrier Staffordshire
Terram,3097,1,Dingo
Thorowgood,3026,0,Hound Ibizan
Tibb,3023,1,Retriever Chesapeake
Tidbury,3090,1,Samoyed
Tidcomb,3103,1,Springer English
Tilley,3041,1,Terrier Irish
Tizzard,3021,0,
Tomala,3090,1,Boxer
Tomeo,3103,0,Bullterrier Staffordshire
Tomkins,3041,1,Dingo
Toynbee,3021,1,Hound Ibizan
Trematick,3090,0,Retriever Chesapeake
Tremblett,3103,0,Samoyed
Treslove,3041,1,Springer English
Trewartha,3021,1,Terrier Irish
Try,3090,1,Boxer
Tschierse,3103,1,Bullterrier Staffordshire
Tumilson,3091,0,Dingo
Tunney,3105,1,Hound Ibizan
Twizell,3068,0,Retriever Chesapeake
Twycross,3088,1,Samoyed
Ugo,3059,1,Springer English
Unwin,3064,0,Terrier Irish
Valente,3063,0,
Vanne,3108,0,
Vannuccinii,3038,0,
Vasilyev,3111,1,Boxer
Vasyutkin,3097,1,Bullterrier Staffordshire
Veldens,3026,0,Dingo
Vido,3023,0,Hound Ibizan
Vinker,3090,1,Retriever Chesapeake
Walduck,3103,1,Samoyed
Walesa,3041,0,Springer English
Warrington,3021,1,Terrier Irish
Wenden,3090,1,Boxer
Wenn,3103,0,Bullterrier Staffordshire
Whayman,3041,0,Dingo
Whellans,3021,1,Hound Ibizan
Whinney,3090,1,Retriever Chesapeake
Whitrod,3103,1,Samoyed
Whoolehan,3041,0,Springer English
Wilkie,3021,0,Terrier Irish
Willas,3090,0,
Woodeson,3103,0,
Woodson,3091,1,Boxer
Woodwing,3105,1,Bullterrier Staffordshire
Woolvin,3068,1,Dingo
Worsam,3088,0,Hound Ibizan
Wrixon,3059,0,Retriever Chesapeake
Yearne,3064,1,Samoyed
Yurkiewicz,3063,0,Springer English
Yushin,3108,0,Terrier Irish
Zellick,3038,1,Terrier Irish
